email,created_at,alert_type,org_type,org_id,org_name
7-flMudStusMtUq1@nhs.net,2021-05-03,monthly,Practice,A81039,Eaglescliffe Medical Practice
vxoyhVyf0-kzWENd@dorsetgp.nhs.uk,2021-05-04,monthly,Practice,J81014,Westbourne Medical Centre
f903Qem3HQa82WwN@nhs.net,2016-12-16,monthly,SICBL,15C,"NHS Bristol, North Somerset and South Gloucestershire"
sLBcM6l9JTMFgEeO@bradford.nhs.uk,2016-12-16,monthly,SICBL,36J,NHS Bradford District and Craven
w76-JtwvqtJ24SVZ@nhs.net,2016-12-08,monthly,Practice,A81002,Queens Park Medical Centre
w76-JtwvqtJ24SVZ@nhs.net,2016-12-08,monthly,Practice,A81006,Tennant Street Medical Practice
HSN2uUeD--KT3F4Y@nhs.net,2017-01-23,monthly,Practice,J83007,Hathaway Surgery
_RP_sOm3V95PXwA7@nhs.net,2016-12-09,monthly,Practice,G82143,Lowfield Medical Centre
j0yv-ku-Zx4SaQeX@nhs.net,2016-12-10,monthly,Practice,M85600,Kings Norton Surgery
5biw6cn48rXjdI3T@talktalk.net,2021-05-05,monthly,Practice,E86014,Cedars Medical Centre
H_Gd61VLMWK4MzKP@nhs.net,2021-05-06,monthly,Practice,E83016,Millway Medical Practice
CIX6QIp0lPqteX43@nhs.net,2021-05-07,monthly,PCN,U52261,Blue PCN
9-z7cQ9Yacj1lr4j@nhs.net,2021-05-08,monthly,PCN,U93843,Panacea PCN
Jr7y0Cr_0dBRYSdD@nhs.net,2021-05-09,monthly,PCN,U25882,Erewash PCN
bKi8ptGub8CBvfZ3@live.com,2024-11-27,monthly,PCN,U79313,Sapa 5 PCN
nO0Kc1N49I1BCfzy@nhs.net,2017-01-06,monthly,Practice,B82023,Catterick Village Surgery
y-UMyeLunNJqUURB@nhs.net,2016-12-13,monthly,Practice,Y02622,Blackfriars
H8zCYMxuUyLcFR0g@nhs.net,2016-12-15,monthly,Practice,L82036,Bodriggy Health Centre
x8Wb3i6rmvG8bArJ@gmail.com,2016-12-15,monthly,Practice,J84004,East Cowes Medical Centre
qb7Pd0AAKPMS0hbv@nhs.net,2021-05-10,monthly,Practice,B82101,Sleights and Sandsend Medical Practice
5mdRx284sH3WUUWB@nhs.net,2021-05-11,monthly,Practice,H85022,Park Road Medical Centre
2tbe5oXqcwOMIodJ@nhs.net,2017-01-13,monthly,SICBL,52R,NHS Nottingham and Nottinghamshire
8kWK82sGtQBOdhWx@gmail.com,2024-11-27,monthly,Practice,B85619,Cook Lane Surgery
8YuGG8FVjidE38Pf@nhs.net,2017-01-25,monthly,SICBL,42D,NHS North Yorkshire
nO0Kc1N49I1BCfzy@nhs.net,2017-01-06,monthly,Practice,B82045,Central Dales Practice
eW49UaeFRjBmGR9-@googlemail.com,2016-12-16,monthly,Practice,G82684,New Lyminge Surgery
VBfjjfmMsuinrSlY@nhs.net,2016-12-19,monthly,SICBL,06K,NHS East and North Hertfordshire
Osso_ZZ3Zog1cKEW@gmail.com,2016-12-19,monthly,Practice,F83652,Amwell Group Practice
xgqEHIYGxPngXVlI@gp-y01008.nhs.uk,2016-12-20,monthly,SICBL,01K,NHS Morecambe Bay
w76-JtwvqtJ24SVZ@nhs.net,2016-12-08,monthly,SICBL,16C,NHS Tees Valley
KeaZ_WRwYp09DNG-@outlook.com,2016-12-21,monthly,Practice,K81050,The Downland Practice
uEMxmPV9D0JMaIFt@merck.com,2016-12-22,monthly,SICBL,01H,NHS North Cumbria
aUexapYdo4yiNqTq@gp-c84055.nhs.uk,2016-12-25,monthly,Practice,C84055,Highcroft Surgery
nPKlQq2eVkO4HEc5@nhs.net,2016-12-25,monthly,Practice,C84055,Highcroft Surgery
bpfLZxLlQG9MFYST@outlook.com,2016-12-26,monthly,Practice,L84009,Hadwen Health
aUexapYdo4yiNqTq@gp-c84055.nhs.uk,2016-12-28,monthly,Practice,C84055,Highcroft Surgery
UeHnuuI4Jriq6vC_@nhs.net,2017-01-06,monthly,Practice,B82083,York Medical Group
Wt4BVrR_epiBTRQa@parsonsglebe.co.uk,2017-01-07,monthly,Practice,J81081,Gillingham Medical Practice
4u9CP5lki-q3w39p@homecall.co.uk,2017-01-09,monthly,Practice,D81059,Ramsey Health Centre
YxhLw0qrlEN_423H@fresenius-kabi.com,2017-01-09,monthly,Practice,Y04972,Burnley Locality NMPS
H4KeQKomKAXgqSUo@nhs.net,2017-01-09,monthly,SICBL,11M,NHS Gloucestershire
mXG6HLMMkjXzPmGG@nhs.net,2017-01-10,monthly,Practice,L83147,Lisson Grove Medical CTR.
2r7VFYRqQKv1zlrh@its.jnj.com,2017-02-05,monthly,SICBL,92A,NHS Surrey Heartlands
XZ_OzPimyVIZ4NqI@hotmail.com,2017-01-11,monthly,Practice,G85046,Lee Road Surgery
rCs7xbtrTibKJLjI@nhs.net,2017-01-12,monthly,SICBL,09D,NHS Brighton and Hove
dWsgMybNnrhUI5wo@wandsworthccg.nhs.uk,2017-02-02,monthly,SICBL,36L,NHS South West London
KrrXwL7bCMLqRbSR@gmail.com,2016-12-08,monthly,SICBL,36J,NHS Bradford District and Craven
l7ap2NWpiTkSQQR3@aol.com,2017-01-14,monthly,Practice,P86022,Stonefield Street Surgery
sLBcM6l9JTMFgEeO@bradford.nhs.uk,2016-12-16,monthly,SICBL,36J,NHS Bradford District and Craven
F22UxUT78EWL_e9h@nhs.net,2017-01-16,monthly,Practice,L83038,Tavyside Health Centre
uRz3pSihgwNQh4Cr@gmail.com,2025-03-20,monthly,PCN,U27924,Benfleet PCN
Ecf3Ea67F8xv_IFX@livgp.nhs.uk,2017-01-18,monthly,Practice,N82091,GP Practice Riverside (DR Jude)
pe2KpWrdRz81yh2_@gp-l81047.nhs.nt,2017-01-18,monthly,Practice,L81047,West Walk Surgery
MIAQa13gsKayeA1-@nhs.net,2017-01-19,monthly,Practice,L83105,Castle Gardens Surgery
Uy18jSO9hDdoc_0m@nhs.net,2017-02-09,monthly,SICBL,11M,NHS Gloucestershire
uRz3pSihgwNQh4Cr@gmail.com,2025-03-21,monthly,Practice,Y02713,Guide Bridge Medical Practice
g-O97Qor7uYtrE-C@outlook.com,2017-01-29,monthly,Practice,J81025,The Wellbridge Practice
XlLEGk40mHzoEGVm@nhs.net,2017-02-05,monthly,Practice,A89040,Monkwearmouth Health Centre
D7c52f1kpbETOa4L@nhs.net,2017-01-31,monthly,SICBL,03N,NHS Sheffield
ntTjtyMPsfrcme_3@nhs.net,2017-02-13,monthly,SICBL,09D,NHS Brighton and Hove
j0yv-ku-Zx4SaQeX@sky.com,2017-02-04,monthly,Practice,M85600,Kings Norton Surgery
nj2Vt7fgHz9HpErj@nhs.net,2017-02-05,monthly,Practice,M85020,Raydocs Newtown
2r7VFYRqQKv1zlrh@its.jnj.com,2017-02-05,monthly,SICBL,10Q,NHS Oxfordshire
hnrwIWqh1fxs90zC@slam.nhs.uk,2017-01-08,monthly,SICBL,72Q,NHS South East London
x52V0B170KAH8_7Y@nhs.net,2017-02-06,monthly,Practice,Y02578,Broadmead Medical Centre
pEoaEYWxzJBtiH58@nhs.net,2017-02-07,monthly,Practice,F84008,Barton House Group Practice
pEoaEYWxzJBtiH58@nhs.net,2017-02-07,monthly,Practice,F84636,The Surgery (Barretts Grove)
_uXrZMiXW8YRjw13@nhs.net,2017-01-04,monthly,SICBL,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire"
cO06vLHRjXTUe9Y3@hotmail.co.uk,2017-02-10,monthly,Practice,C82007,Castle Donington Surgery
0AyKjRc--ds5y5Pe@gmail.com,2017-02-11,monthly,Practice,C85016,Garland House Surgery
EHLpct7z6axviYS9@gmail.com,2017-02-12,monthly,Practice,B81058,Sydenham Group Practice
MhwrwB28YjvEkdpa@nhs.net,2017-02-13,monthly,Practice,M86032,Holbrooks Health Team
SMd4ldSWQHQzA0sK@nhs.net,2017-02-13,monthly,SICBL,06T,NHS North East Essex
-fWhFx2Irjomrl0v@nhs.net,2016-12-03,monthly,Practice,P86023,Hopwood Medical Centre
EYZR8XtFZcLUYLME@nhs.net,2017-01-30,monthly,Practice,J82050,St Paul's Surgery
P9SY26Yk4lh1xVvr@nhs.net,2016-12-05,monthly,SICBL,11M,NHS Gloucestershire
sU2vckUyXaytlzTS@nhs.net,2017-01-14,monthly,Practice,G82203,Court View Surgery
RVK_0aKWjtkIn91x@nhs.net,2017-01-06,monthly,Practice,N81036,Springfields Medical Centre
JwxG_Io_FlRY58U0@gmail.com,2017-01-31,monthly,SICBL,15E,NHS Birmingham and Solihull
im02OtHH_36LZgub@nhs.net,2016-12-19,monthly,SICBL,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire"
3wh5fRAPKCE6BGCP@nhs.net,2017-02-13,monthly,Practice,G82780,Gravesend Medical Centre
_OGU_M8nB2GOvx4m@nhs.net,2021-04-22,monthly,SICBL,72Q,NHS South East London
KE5JoHfZHdOZTboz@dudleyccg.nhs.uk,2017-02-15,monthly,Practice,M87024,Wychbury Medical Group
ewuYirjNhf8FYxBU@nhs.net,2017-02-15,monthly,SICBL,03N,NHS Sheffield
E-kZ2wrwUypvdgdJ@pharmacy.murrays.co.uk,2017-02-15,monthly,Practice,M82014,Station Drive Surgery
7SSmOHg2XDtKwruX@nhs.net,2021-04-28,monthly,Practice,H81019,Sunny Meed Surgery
1bP-VRy5IUOi0sj5@nhs.net,2017-02-15,monthly,Practice,G85001,Forest Hill Group Practice
-5WqFrggUZJQaIuF@groversaurus.com,2017-02-16,monthly,Practice,P81063,St Pauls Medical Centre
jhBSNqBSyP2xHi5R@nhs.net,2017-02-15,monthly,SICBL,26A,NHS Norfolk and Waveney
m1TPeRD0rX9dI39F@gmail.com,2017-02-17,monthly,Practice,E85107,The Mill Hill Surgery
lCP4j8TkBNHDadiq@grunenthal.com,2017-02-17,monthly,SICBL,11X,NHS Somerset
eZYvMUuk48BQOEwq@btinternet.com,2021-05-03,monthly,SICBL,02H,NHS Wigan Borough
j3p7OavFmNw4baq4@live.com,2017-02-19,monthly,SICBL,09D,NHS Brighton and Hove
8kWK82sGtQBOdhWx@gmail.com,2024-11-27,monthly,SICBL,03Q,NHS Vale of York
aAD4H2Iq1AUVmXBr@hotmail.co.uk,2017-02-20,monthly,Practice,N84027,Orrell Park Medical Centre
bs9jQp98FdzWGeyn@nhs.net,2017-02-20,monthly,Practice,L83026,Torrington Health Centre
7az9O2V2viDhzb3-@nhs.net,2021-05-03,monthly,Practice,L83100,Beacon Medical Group
VBfjjfmMsuinrSlY@nhs.net,2017-02-20,monthly,SICBL,06K,NHS East and North Hertfordshire
AAqrrSlC3amLRm9U@nhs.net,2021-05-05,monthly,Practice,L81014,Frome Valley Medical Centre
M4haYQgpRUVKyuUh@nhs.net,2021-05-07,monthly,Practice,F83010,Islington Central Medical Centre
Vq7CqHq3c0UnJ6Pw@nhs.net,2017-02-21,monthly,Practice,P81006,Garstang Medical Practice
syDVCmAQTgGB0OPx@yahoo.com,2021-05-09,monthly,Practice,G85054,Lambeth Walk Group Practice
rZw8Q7cVonwqTMwJ@btinternet.com,2017-02-16,monthly,SICBL,15N,NHS Devon
NVa0w2WyGvBnlW0F@nhs.net,2021-05-11,monthly,PCN,U44671,Kennet PCN
D_xZT1lKBc5QobGX@nhs.net,2021-11-05,monthly,Practice,M92010,Tettenhall Medical Practice
eGYP5S1QmvhIdDmX@nhs.net,2021-12-02,monthly,SICBL,70F,NHS West Sussex
utWxkQOgJDZnsSrB@nhs.net,2017-02-22,monthly,Practice,B82054,Scarborough Medical Group
rXzT-Ql0d-QBAvoH@live.co.uk,2017-02-22,monthly,Practice,E82640,Highfield Surgery
bHJken5ocIqCKxEx@sky.com,2017-02-22,monthly,Practice,F81096,Oaklands Surgery
nKShSaFiaMmDlp3q@hotmail.co.uk,2017-02-23,monthly,Practice,F81741,North Clacton Medical Practice
AwDdR28vs_c1W-ha@nhs.net,2021-12-20,monthly,SICBL,09D,NHS Brighton and Hove
L3dDHCRPsuyDtuLJ@nhs.net,2021-12-23,monthly,Practice,A83035,The Weardale Practice
8Gaso5OMMUA_E6Wi@hotmail.com,2021-12-24,monthly,Practice,F86707,Fence Piece Road Medical Centre
ju_fuMS_3zV5jl8z@nhs.net,2021-12-29,monthly,PCN,U55146,Central Basildon PCN
uyQWnnbjyc5dM19S@nhs.net,2022-01-04,monthly,SICBL,00T,NHS Bolton
CDhiaqKkBljz-eDK@srft.nhs.uk,2017-02-25,monthly,SICBL,01G,NHS Salford
WG_ZzGNgQ5VDX788@nhs.net,2017-02-26,monthly,Practice,P89010,Medlock Vale Medical Practice
FE-Vk7xkuzxG5YWg@nhs.net,2022-01-05,monthly,SICBL,00Y,NHS Oldham
BR3IIt55Cqq6Glqp@nhs.net,2017-02-28,monthly,Practice,Y04957,St Austell Health Group
Utcgc2MtTWDTtt_y@nhs.net,2022-01-06,monthly,Practice,H84010,Canbury Medical Centre
yLDk9jz4tXuSBrpv@nhs.net,2022-01-07,monthly,PCN,U93726,South Lincoln PCN
Yp7qfuWKWp9IPwHt@nhs.net,2022-01-08,monthly,Practice,Y02494,Shakespeare Medical Practice
xwdGj9hAgQ7WOK2U@nhs.net,2017-03-23,monthly,Practice,L84058,ST. Catherine's Surgery
Owi1wO6czpxdS4hM@nhs.net,2017-03-01,monthly,SICBL,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire"
HAh_EfincCjFjKbq@walsall.nhs.uk,2017-02-28,monthly,Practice,M91019,Rushall Medical Centre
lHOmMHFp-gBIKTe-@swindonccg.nhs.uk,2017-02-20,monthly,SICBL,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire"
advMg1bKwj_lBAWv@bayer.com,2022-01-10,monthly,SICBL,72Q,NHS South East London
adtmJH43p1fjYgkp@gp-b85048.nhs.uk,2017-03-01,monthly,Practice,B85048,Woodhouse Hill Surgery
rsFvo3-eetwh22Z4@nhs.net,2017-03-02,monthly,Practice,K84030,Chipping Norton Health Centre
rBlw90imHjQ2lcjw@nhs.net,2017-03-02,monthly,Practice,L84027,Culverhay Surgery
fYeEuy6BOmieAIlu@gmail.com,2017-03-02,monthly,Practice,G82186,Hamstreet Surgery
NA78iZyk81gWSj8D@nhs.net,2022-01-11,monthly,Practice,N81034,Boughton Medical Group
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,06Q,NHS Mid Essex
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,07H,NHS West Essex
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,06T,NHS North East Essex
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,99E,NHS Basildon and Brentwood
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,07G,NHS Thurrock
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,99F,NHS Castle Point and Rochford
-c-OUZ6jJo4keizu@astrazeneca.com,2017-03-03,monthly,SICBL,99G,NHS Southend
ncDiZji5O9dkAzua@nhs.net,2017-02-24,monthly,Practice,C88023,Sothall & Beighton Health Centres
VTY2kDpSIinPdMdt@nhs.net,2017-02-24,monthly,SICBL,92A,NHS Surrey Heartlands
mV0GrRdwUTEIa7vw@hotmail.co.uk,2017-03-06,monthly,Practice,F81741,North Clacton Medical Practice
33YpDhmI9-3EW9aH@nhs.net,2017-03-06,monthly,Practice,C85016,Garland House Surgery
m4JicaYRYqzi_YZn@nhs.net,2017-02-27,monthly,SICBL,92A,NHS Surrey Heartlands
NwUUgutH8wrU70fc@wandsworthccg.nhs.uk,2017-02-21,monthly,SICBL,36L,NHS South West London
atQxkggM_BPObux-@gmail.com,2017-03-06,monthly,Practice,E81030,Cauldwell Medical Centre
u5uyC-Yt9kxnyItZ@doctors.org.uk,2017-03-10,monthly,Practice,P91604,St Johns Medical Centre
us_w47v0MyjGqBUj@nhs.net,2017-03-10,monthly,Practice,Y02671,The Practice Heart of Hounslow
m-_ZTvYmDicZqvh3@gmail.com,2017-03-12,monthly,Practice,Y02322,Leigh Family Practice
TF2oBKsPcZYyQcs2@nhs.net,2017-03-12,monthly,Practice,F82053,Upminster Medical Centre
a6tfjzXPCUA8rDID@nhs.net,2017-03-12,monthly,Practice,F82053,Upminster Medical Centre
FJvuaegotgQTZJiN@nhs.net,2017-03-13,monthly,SICBL,01Y,NHS Tameside and Glossop
8lOpnlV6bsXqtir6@nhs.net,2017-02-21,monthly,SICBL,15N,NHS Devon
EsTF5QG4REqaPrBx@nhs.net,2017-03-13,monthly,Practice,G82099,The College Practice
K12mK11O6lc8Rq7R@nhs.net,2017-03-13,monthly,Practice,H81656,Shadbolt Park House Surg
88vMipFZdN2L_Ovo@aol.co.uk,2017-03-14,monthly,SICBL,14L,NHS Manchester
bhU_Fzh6tmsLhISm@nhs.net,2017-03-14,monthly,Practice,L83069,Ruby Country Medical Group
5ZWpaQ5JBz9OlDq-@lyngfordparksurgery.nhs.uk,2017-03-15,monthly,Practice,L85062,Lyngford Park
s0aqIGax31X0ADWf@nhs.net,2017-03-07,monthly,Practice,H82017,Park Surgery
Ls2SiAH-n2sFL-TW@eastleicestershireandrutlandccg.nhs.uk,2017-03-15,monthly,SICBL,03W,NHS East Leicestershire and Rutland
swliWU6S6F5OGiNg@eastleicestershireandrutlandccg.nhs.uk,2017-03-15,monthly,SICBL,03W,NHS East Leicestershire and Rutland
MD2du2EnG_SR28Tq@eastleicestershireandrutlandccg.nhs.uk,2017-03-15,monthly,SICBL,03W,NHS East Leicestershire and Rutland
SAqVnt0XDYEwYbPQ@doctors.org.uk,2017-03-15,monthly,Practice,B81006,Humber Primary Care
TX4vkYzhdJ8zcOsp@nhs.net,2017-03-15,monthly,Practice,C84150,Unity Surgery
Gw_jjLdhQJhdx1aT@nhs.net,2017-03-06,monthly,Practice,L84037,The Holts Health Centre
cfs6NvLYzW3bISa2@icloud.com,2017-03-16,monthly,Practice,L84027,Culverhay Surgery
NpueiEEgIh1f-Y4n@nhs.net,2017-02-17,monthly,Practice,L83026,Torrington Health Centre
3gRe9QmLoDlKGGL7@nhs.net,2017-02-13,monthly,Practice,D83073,Dr Solway and Dr Roy Practice
3KFxqBBjiN183AHL@hotmail.com,2017-03-18,monthly,Practice,G82775,Medway Medical Centre
albJIPRjopvjHezh@nhs.net,2017-03-20,monthly,Practice,Y00412,Soho Health Centre
-DTfQg7Z9eHOCTzO@ntlworld.com,2017-03-20,monthly,Practice,M83068,Belgrave Medical Centre
nMbiP1K8Jmd3E5Oy@nhs.net,2017-03-21,monthly,Practice,G85021,Prentis Medical Centre
lcCrnUxetCMWdPBI@hotmail.co.uk,2017-03-21,monthly,Practice,M92029,Newbridge Surgery
pE5OgTgb5xxTPj7o@nhs.net,2017-03-23,monthly,Practice,L83049,Moretonhampstead Health Centre
zXWnMSsOCL7_Yp0m@nhs.net,2017-03-23,monthly,Practice,Y05248,Brierley Medical Centre
zXWnMSsOCL7_Yp0m@nhs.net,2017-03-23,monthly,Practice,C85005,Royston Group Practice
q1_XLwJ4IY2GMO40@hotmail.co.uk,2017-03-23,monthly,Practice,M88021,Scott Arms Medical Centre
K0h6VXJ9UVU74Xd_@liverpoolch.nhs.uk,2017-03-23,monthly,Practice,N82108,Rutherford Medical Centre
Y_IKFnNWTIRkbyFO@nhs.net,2017-03-23,monthly,Practice,K82045,Southmead Surgery
wBDwhjVgtK0WjHtF@yahoo.co.uk,2017-03-23,monthly,SICBL,01Y,NHS Tameside and Glossop
HckwKZlqdBRIdx25@nhs.net,2017-03-24,monthly,SICBL,01Y,NHS Tameside and Glossop
i7hJfAyHqG4v8T43@nhs.net,2017-03-05,monthly,Practice,M81011,Ombersley Medical Centre
zfdumYdtW9ZAkxvU@nhs.net,2017-03-11,monthly,Practice,F82679,Dr DP Shah's Practice
b5ZqRqGMjvYuK4pd@gmail.com,2017-03-01,monthly,Practice,H84014,Paradise Road Surgery
JwxG_Io_FlRY58U0@gmail.com,2017-01-31,monthly,Practice,M85108,Small Heath Medical Practice
8lOpnlV6bsXqtir6@phc.ox.ac.uk,2017-02-21,monthly,SICBL,15N,NHS Devon
s-JHOkALA8moRoTv@nhs.net,2017-02-21,monthly,SICBL,15N,NHS Devon
F4yzyM9DBTBamYoN@nhs.net,2017-02-24,monthly,SICBL,15N,NHS Devon
ei9AHVHmJJctZyFA@nhs.net,2017-02-24,monthly,SICBL,15N,NHS Devon
o8vT3f-kGn-CwKja@nhs.net,2017-02-24,monthly,SICBL,15N,NHS Devon
whJbTxjkkxt3DsRh@nhs.net,2017-04-06,monthly,SICBL,93C,NHS North Central London
R77hum99xykszJ7g@gmail.com,2017-03-24,monthly,Practice,N84027,Orrell Park Medical Centre
j3k-dtWzDDIufW_j@nhs.net,2017-03-25,monthly,Practice,H82057,Mid Sussex Health Care
Mhogp384OrTz9Wed@nhs.net,2017-03-25,monthly,Practice,L83050,Northam Surgery
uCKHcFTfboJ7u0IH@nhs.net,2017-03-26,monthly,Practice,C88047,Wincobank Medical Centre
RFlMLrkE0HUswLjg@mac.com,2017-03-26,monthly,Practice,C88047,Wincobank Medical Centre
anfhWYK_n3CIhgk4@nhs.net,2017-04-13,monthly,Practice,B86051,Aire Valley Surgery
ZX1ghoBpGe2Ta3A0@nhs.net,2021-04-22,monthly,SICBL,12F,NHS Wirral
z6Fv81jbgXfVeJD3@nhs.net,2017-03-27,monthly,Practice,H83024,Woodcote Medical
T7Tvkg-NxuNN6lI6@hotmail.com,2017-03-27,monthly,Practice,C82001,South Leicestershire Medical Partnership
l0xKpTkaxKDLd6jr@nhs.net,2017-03-28,monthly,Practice,G81082,Oldwood Surgery
ELsY26zo45lHadfj@icloud.com,2017-03-28,monthly,SICBL,06H,NHS Cambridgeshire and Peterborough
lt70XkbgkxKpW2Ih@hotmail.com,2017-03-29,monthly,Practice,N83032,Millbrook Medical Centre
Bn5bLumiLsKieo-q@nhs.net,2017-03-29,monthly,Practice,L83018,Beaumont Villa Surgery
SOhlptty2Ok36M7M@nhs.net,2021-04-23,monthly,Practice,Y02633,Bow Medical Practice
DWiZVny8xYiNMNlu@bradford.nhs.uk,2017-03-29,monthly,Practice,B83028,Wibsey & Queensbury Med P
AsyooMdaeHsUf5uw@somersetccg.nhs.uk,2017-03-30,monthly,SICBL,11X,NHS Somerset
vfiG5csAwoHJEU2h@nhs.net,2017-03-30,monthly,Practice,K82033,Burnham Health Centre
yJAzbywXlKxl__Y1@nhs.net,2017-03-30,monthly,Practice,A83041,Murton Medical Centre
ABlRIpKDvQWkI4ou@highbridgemc.co.uk,2017-03-30,monthly,Practice,L85010,Highbridge Medical Centre
yDzQi92WpdhYXYZV@nhs.net,2017-03-31,monthly,Practice,K82046,The Simpson Centre
WIYgCDnX4xB1ONNl@dorsetccg.nhs.uk,2017-04-03,monthly,SICBL,11J,NHS Dorset
Hw8xzb30cxxKMlHo@nhs.net,2017-04-03,monthly,Practice,Y02701,Great Bridge Health Centre
Hw8xzb30cxxKMlHo@nhs.net,2017-04-03,monthly,Practice,M88643,The Spires Health Centre
XZpNxXzgRHWhWcgz@nhs.net,2021-04-27,monthly,SICBL,92A,NHS Surrey Heartlands
BTzOhH8KoEtQYtmU@nhs.net,2021-04-28,monthly,Practice,K84041,Marcham RD Family Health Centre
HSN2uUeD--KT3F4Y@nhs.net,2017-05-02,monthly,SICBL,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire"
ZOX0Kwhs6qJc9BBS@nhs.net,2017-03-29,monthly,SICBL,15F,NHS Leeds
3yjn-3pC1p8nbVkn@nhs.net,2017-04-04,monthly,Practice,L83100,Beacon Medical Group
kbqvNkLdpl-tSEmD@hotmail.co.uk,2017-04-04,monthly,Practice,F84739,E12 Medical Centre
T7ny0jeu7oZsnMAD@nhs.net,2017-04-06,monthly,Practice,L83112,West Hoe Surgery
trF10U07G7_dkd8S@kent.ac.uk,2017-04-07,monthly,SICBL,91Q,NHS Kent and Medway
c3kiEppSlOim-5O_@sky.com,2017-04-06,monthly,Practice,Y05167,The Flying Scotsman Health Centre
vxoyhVyf0-kzWENd@dorsetgp.nhs.uk,2021-05-04,monthly,Practice,J81625,Denmark Road Medical Centre
o0yFLsaqH3oJCJ8y@somersetccg.nhs.uk,2017-04-07,monthly,SICBL,11X,NHS Somerset
swx2Jqri60bAZTwc@nhs.net,2021-05-05,monthly,SICBL,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire"
ps3NCAcZ27kPsYBz@nhs.net,2017-04-11,monthly,SICBL,97R,NHS East Sussex
39HIQTH0p1VBvM6v@nhs.net,2021-05-07,monthly,Practice,F83007,Roman Way Medical Centre
A3jBrzwS3_U5VYn3@knowsleyccg.nhs.uk,2021-05-10,monthly,Practice,N83633,Nutgrove Villa Surgery
